call_id,user_utterances
b74847df-99d1-4022-b093-f7f74cc488fa,"[""すみません、田中と申します。今日の夜7時に2名で予約したいのですが。"", ""え？もう一度言わなきゃいけないんですか？田中です、7時に2人です。"", ""いや、違いますって、今日の夜7時です！何度も言ってますよ？"", ""もしもし？聞こえてますか？""]"
8056c90e-b3bd-43f2-a422-425b2bb382fb,"[""こんにちは、新宿店ですか？営業時間を知りたいのですが。"", ""何時までやっていますか？夜は何時に閉まりますか？"", ""あれ、応答が遅いですね。えっと、21時までで合ってますか？""]"
1b1b2364-8711-402d-a37f-c359a06640fc,"[""先週の予約でミスがあったので、苦情を言いたいです。"", ""違う時間に予約されててとても困りました。"", ""今日の担当者は誰ですか？"", ""また同じことが起きたらどうしてくれるんですか？""]"
042499f8-6429-4639-b4fb-4695285f2157,"[""すみません、明日の予約を変更したいのですが可能でしょうか？"", ""12時から13時に変更したいです。できますか？"", ""あの…今、変更できてますか？確認したいのですが。""]"
3a2730ed-d781-44af-bf30-5a5f6c0400a6,"[""あの、もしもし、先ほど予約した田中です。念のため確認したいんですけど、今夜7時に2名で予約できてますか？"", ""聞こえてますか？今夜7時、2名、田中です。"", ""何度も同じこと言ってますよ？大丈夫ですか？""]"
1ee83680-f671-44a1-93e7-1581050a8620,"[""すみません、今日のおすすめメニューを教えてください。"", ""ラーメンと餃子のセットはありますか？"", ""ドリンクは別料金ですか？""]"
a50c96f7-1763-44d3-aa2c-cef87d587cb8,"[""こんにちは、予約の件でちょっと聞きたいことがあるんですけど。"", ""ネットで予約したのに反映されてないみたいです。"", ""また最初から予約しなきゃいけないんですか？"", ""何かミスがあったのでは？""]"
3e0c0ec4-7a62-42e6-ba0a-16dbbc29601d,"[""あのー、電話つながってますか？全然反応ないんですけど。"", ""もういいです。直接行きます。""]"
a27b21e2-c58f-4082-bb1f-fefea30d6f12,"[""今日の夜、子連れでも大丈夫ですか？"", ""席にベビーチェアありますか？"", ""空いてる時間帯があれば教えてください。""]"
7f4c07be-0676-4bfb-a5ae-f4d44d8a4b64,"[""おい、何度言わせんだよ。今日の7時に予約入れろって言ってんだよ。"", ""ふざけんな、バカか？ちゃんと聞けよ。"", ""マジで使えねえシステムだな。二度と電話しねえよ。""]"
fe48372c-8f31-4512-b8f8-e1e5480521b1,"[""予約のキャンセルをお願いしたいんですが。"", ""今日の18時の予約、キャンセルできますか？"", ""名前は鈴木です。問題ないですか？""]"
ef4153d8-88b4-41f3-81b0-590530867f6e,"[""先週の電話では対応が遅くて結局予約できませんでした。"", ""今回はちゃんと対応してもらえますか？"", ""新宿店ですよね？間違ってないですよね？""]"
7e62805e-70d7-4139-addc-f3fcf241374a,"[""秋葉原の店舗ですよね？今日の昼に4人で席空いてますか？"", ""12時半頃に行きたいのですが予約できますか？"", ""名前は佐藤です、よろしくお願いします。""]"
a4720f19-f10d-433f-852a-712591b5fcd6,"[""もしもし、先週注文した料理が来なかったんですけど、その件で連絡しました。"", ""対応してくれる人いますか？"", ""これ何回目だと思ってるんですか？""]"
dac2f925-cd85-43c1-a0d7-414e7d22d939,"[""ラーメンセットについて聞きたいんですが、餃子付きですか？"", ""飲み物もセットに含まれてますか？"", ""今から行って注文しても大丈夫ですか？""]"
8ad73168-1fba-4398-b168-5ef4a5ac4deb,"[""今日の予約をキャンセルしたいんですけど、電話でできますか？"", ""18時の予約を19時に変更するかキャンセルしたいです。""]"
e80f8cf6-1923-4435-9876-7a01d34bde65,"[""最近よく混雑していて電話もつながりにくいんですけど、対策とかありますか？"", ""待ち時間が毎回長すぎるんですよね。"", ""他の店と比べて遅い気がします。""]"
cc4515c3-628b-4640-b0d8-61648eb35541,"[""今夜の予約、2名で20時からお願いしたいです。"", ""名前は中村です。確認できますか？"", ""あの、ちゃんと予約取れてますよね？"" ]"
433f3068-e38e-46fc-b7af-ccf3a6614dcb,"[""外国人の友達を連れて行く予定なんですけど、英語のメニューってありますか？"", ""English menu, do you have? Just checking."" ]"
3b97e2ee-71dc-45c1-9000-8b13e23a7f03,"[""来週の金曜日に10人で宴会をしたいんですが、団体予約は可能ですか？"", ""コースメニューなどあれば教えてください。"", ""2時間飲み放題とかあります？""]"